,Farmacia,Producto,SKU,Normal,Oferta
0,Ahumada,Pack P. Dent. Aquafresh Advan. 2un.,83811,3599.00,3599.00
1,Ahumada,Sedal Crema Para Peinar Rizos Definidos x 300 mL,81782,2399.00,2399.00
2,Ahumada,Cerave Crema Hidratante Piel Seca x 454 mL,85463,15199.00,15199.00
3,Ahumada,Cerave Gel Limpiador Espumoso Piel Normal A Grasa x 473 mL,85388,12699.00,12699.00
4,Ahumada,Cerave Crema Contorno De Ojos Reparadora x 15 mL,85385,12499.00,12499.00
5,Ahumada,"OZEMPIC SEMAGLUTIDA 2\/1,5ML JERINGA PRELLENADA",88319,164395.00,164395.00
6,Ahumada,Abrilar 35 mg\/5 mL x 100 mL Jarabe,26896,4595.00,4595.00
7,Ahumada,Bilidren 20 mg x 30 Comprimidos,72499,19795.00,19795.00
8,Ahumada,Bilidren 20 mg x 30 Comprimidos,72499,19795.00,19795.00
9,Ahumada,Caristop Sensitive Pasta Dental x 100 g,63258,7099.00,7099.00
10,Ahumada,Calmatol x 60 mL Jarabe,5165,8599.00,8599.00
11,Ahumada,Calmatol x 60 mL Jarabe,5165,8599.00,8599.00
12,Ahumada,Gillette Maquina De Afeitar Prestobarba 3 x 6 Unidades,84733,6999.00,6999.00
13,Ahumada,Gillette Maquina De Afeitar Prestobarba 3 x 6 Unidades,84733,6999.00,6999.00
14,Ahumada,Gillette Crema Para Afeitar Piel Sensible x 312 g,64449,7899.00,7899.00
15,Ahumada,Maybelline M\u00e1scara De Pesta\u00f1as Big Shot Waterproof x 9 mL,83713002,8499.00,8499.00
16,Ahumada,No 7 Base Stay Perfect Calico x 30 mL,81233009,21999.00,21999.00
17,Ahumada,No 7 Base Stay Perfect Calico x 30 mL,81233009,21999.00,21999.00
18,Ahumada,Red Bull Lata Energ\u00e9tica Sugar Free x 250 mL,67791,1999.00,1999.00
19,Ahumada,Red Bull Lata Energ\u00e9tica Sugar Free x 250 mL,67791,1999.00,1999.00
20,Ahumada,Gatorade Jugo Botella Cool Blue x 750 mL,74882002,1999.00,1999.00
21,Ahumada,Gatorade Jugo Botella Cool Blue x 750 mL,74882002,1999.00,1999.00
